Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,adminuserservice,7486,6872,110.0,24549.25622279509,5.741253997257445,66273.10409300117,97.42506011220945,2.770724096332522,2.5434699425590557,110,60000,60000,60000,60000,60000,60000,60000,61000,66000,66000
GET,assuranceservice,3318,2728,89,192.2439264610925,3.2358669996028766,1942.073555001116,97.05183845690175,1.2280607202286011,1.0096894649739674,89,130,230,330,560,710,940,1100,1800,1900,1900
GET,cancelservice,19,0,410.0,618.9731835271998,216.01770500274142,1718.5275800002273,52.0,0.007032294660742441,0.0,410,420,510,1400,1600,1700,1700,1700,1700,1700,1700
GET,contactsservice,590,0,7,18.572454087971906,3.648111996881198,386.8123919965001,38.0,0.2183712552546337,0.0,7,9,12,17,46,74,130,190,390,390,390
POST,contactsservice,590,0,10,22.589443888247875,5.981203001283575,806.8563300039386,290.0,0.2183712552546337,0.0,10,13,16,20,48,90,140,200,810,810,810
GET,foodservice,3318,773,120.0,242.23629222517476,6.001615998684429,1642.3774970025988,72.10066305003014,1.2280607202286011,0.28610335646073193,120,240,370,460,640,770,940,1100,1500,1600,1600
POST,inside_pay_service,46,0,500.0,820.5415846089676,50.63852099556243,1807.913885000744,60.369565217391305,0.01702555549442907,0.0,500,1300,1400,1500,1600,1600,1800,1800,1800,1800,1800
POST,orderservice,590,1,460.0,605.614420201583,8.694821000972297,2014.1282839977066,97.3864406779661,0.2183712552546337,0.0003701207716180232,460,810,1000,1100,1300,1500,1600,1800,2000,2000,2000
POST,preserveservice,658,607,60000.0,57846.388590032046,23.1411080021644,118561.06592400465,177.15197568389058,0.2435394677246593,0.2246633083721401,60000,60000,60000,60000,60000,60000,60000,60000,119000,119000,119000
POST,travelservice,756423,287961,130.0,277.3390541218148,1.1784480011556298,60034.369246001006,1.24100404138954,279.96786442961996,106.58034751589759,130,360,470,520,660,780,920,1000,1500,2100,60000
GET,uidashboard,349286,149340,130.0,302.45535565268574,0.9429390047444031,4040.926882000349,10436.275602228547,129.27800383537286,55.273836033435586,130,390,510,570,730,860,1000,1200,1800,2200,4000
POST,userservice,37464,24432,16000.0,25168.324385660657,1.3170599995646626,66083.84804399975,124.02509075379031,13.866204587897622,9.042790692171543,16000,37000,59000,60000,60000,61000,61000,61000,61000,62000,66000
,Aggregated,1159788,472714,130.0,1277.8598589118633,0.9429390047444031,118561.06592400465,3149.275592608304,429.2616294733239,174.96127043464224,130,380,500,560,720,890,6600,60000,61000,61000,119000
